Timestamps,z-Value
1414010248415,9.94
1414010248465,9.83
1414010248516,9.93
1414010248573,9.94
1414010248624,9.91
1414010248674,9.91
1414010248725,9.88
1414010248775,9.89
1414010248827,9.91
1414010248878,9.91
1414010248929,9.78
1414010248979,9.81
1414010249030,9.95
1414010249081,9.95
1414010249131,9.91
1414010249183,9.87
1414010249234,9.92
1414010249286,9.92
1414010249337,9.85
1414010249388,9.9
1414010249438,9.89
1414010249489,9.89
1414010249539,9.88
1414010249592,9.9
1414010249641,9.91
1414010249699,9.8
1414010249762,9.8
1414010249813,9.78
1414010249877,9.9
1414010249929,9.9
1414010249983,9.88
1414010250033,9.89
1414010250084,9.89
1414010250135,9.85
1414010250186,9.88
1414010250237,9.96
1414010250288,9.96
1414010250338,9.86
1414010250389,9.86
1414010250439,9.97
1414010250490,9.97
1414010250540,9.95
1414010250591,9.94
1414010250643,9.92
1414010250693,9.92
1414010250744,9.88
1414010250801,9.89
1414010250855,9.93
1414010250905,9.95
1414010250964,9.95
1414010251015,9.86
1414010251066,9.89
1414010251116,9.92
1414010251168,9.89
1414010251219,9.89
1414010251276,9.92
1414010251327,9.95
1414010251379,9.93
1414010251430,9.93
1414010251481,9.89
1414010251545,9.95
1414010251596,9.94
1414010251646,9.96
1414010251697,9.96
1414010251747,9.91
1414010251797,9.87
1414010251848,9.93
1414010251913,9.93
1414010251965,9.93
1414010252015,10.05
1414010252066,9.97
1414010252116,9.89
1414010252167,9.89
1414010252218,9.91
1414010252269,9.93
1414010252320,9.93
1414010252370,9.93
1414010252421,9.92
1414010252479,9.91
1414010252528,9.88
1414010252583,9.88
1414010252634,9.8
1414010252685,9.91
1414010252736,9.97
1414010252786,9.9
1414010252837,9.9
1414010252893,9.89
1414010252949,9.93
1414010253000,9.91
1414010253052,9.91
1414010253102,9.91
1414010253154,9.84
1414010253214,9.93
1414010253264,9.91
1414010253315,9.89
1414010253366,9.89
1414010253417,9.92
1414010253468,9.84
1414010253520,9.82
1414010253571,9.82
1414010253622,9.9
1414010253672,9.92
1414010253727,9.78
1414010253778,9.78
1414010253829,9.93
1414010253884,9.9
1414010253934,9.86
1414010253998,9.86
1414010254049,9.88
1414010254100,9.87
1414010254151,9.88
1414010254207,9.87
1414010254262,9.88
1414010254313,9.88
1414010254363,9.92
1414010254414,9.81
1414010254465,9.9
1414010254517,9.9
1414010254567,9.86
1414010254618,9.88
1414010254669,9.93
1414010254719,9.93
1414010254769,9.9
1414010254820,9.85
1414010254876,9.81
1414010254928,9.81
1414010254979,9.92
1414010255029,9.9
1414010255080,9.81
1414010255131,9.9
1414010255181,9.9
1414010255232,9.82
1414010255284,9.9
1414010255336,9.9
1414010255386,9.91
1414010255437,9.92
1414010255488,9.85
1414010255556,9.85
1414010255609,9.95
1414010255665,9.95
1414010255717,9.94
1414010255768,9.9
1414010255818,9.93
1414010255870,9.93
1414010255921,9.93
1414010255977,9.94
1414010256028,9.97
1414010256079,9.98
1414010256130,9.98
1414010256180,9.89
1414010256231,9.95
1414010256285,9.95
1414010256339,9.95
1414010256389,9.93
1414010256449,9.9
1414010256500,9.9
1414010256551,9.91
1414010256601,9.91
1414010256652,9.95
1414010256703,9.85
1414010256754,9.94
1414010256816,9.94
1414010256866,9.98
1414010256917,9.9
1414010256967,9.95
1414010257018,9.89
